region,municipality,district,party,votes
Blekinge län,Karlskrona,19 - Marieberg m.fl.,OG,0
Blekinge län,Karlskrona,1 - Aspö,S,156
Blekinge län,Karlskrona,1 - Aspö,SD,81
Blekinge län,Karlskrona,1 - Aspö,M,57
Blekinge län,Karlskrona,1 - Aspö,L,38
Blekinge län,Karlskrona,1 - Aspö,KD,37
Blekinge län,Karlskrona,1 - Aspö,V,24
Blekinge län,Karlskrona,1 - Aspö,MP,18
Blekinge län,Karlskrona,1 - Aspö,C,14
Blekinge län,Karlskrona,1 - Aspö,ÖVR,6
Blekinge län,Karlskrona,1 - Aspö,BLANK,3
Blekinge län,Karlskrona,1 - Aspö,FI,2
Blekinge län,Karlskrona,1 - Aspö,OGEJ,0
Blekinge län,Karlskrona,1 - Aspö,OG,0
Blekinge län,Karlskrona,20 - Mariedal-Backabo,S,400
Blekinge län,Karlskrona,20 - Mariedal-Backabo,SD,214
Blekinge län,Karlskrona,20 - Mariedal-Backabo,M,177
Blekinge län,Karlskrona,20 - Mariedal-Backabo,C,67
Blekinge län,Karlskrona,20 - Mariedal-Backabo,V,59
Blekinge län,Karlskrona,20 - Mariedal-Backabo,KD,58
Blekinge län,Karlskrona,20 - Mariedal-Backabo,L,51
Blekinge län,Karlskrona,20 - Mariedal-Backabo,MP,29
Blekinge län,Karlskrona,20 - Mariedal-Backabo,BLANK,6
Blekinge län,Karlskrona,20 - Mariedal-Backabo,ÖVR,2
Blekinge län,Karlskrona,20 - Mariedal-Backabo,OGEJ,2
Blekinge län,Karlskrona,20 - Mariedal-Backabo,OG,2
Blekinge län,Karlskrona,20 - Mariedal-Backabo,FI,0
Blekinge län,Karlskrona,21 - Nättraby S,M,352
Blekinge län,Karlskrona,21 - Nättraby S,S,351
Blekinge län,Karlskrona,21 - Nättraby S,SD,236
Blekinge län,Karlskrona,21 - Nättraby S,C,119
Blekinge län,Karlskrona,21 - Nättraby S,KD,94
Blekinge län,Karlskrona,21 - Nättraby S,L,92
Blekinge län,Karlskrona,21 - Nättraby S,MP,43
Blekinge län,Karlskrona,21 - Nättraby S,V,41
Blekinge län,Karlskrona,21 - Nättraby S,BLANK,13
Blekinge län,Karlskrona,21 - Nättraby S,ÖVR,7
Blekinge län,Karlskrona,21 - Nättraby S,FI,2
Blekinge län,Karlskrona,21 - Nättraby S,OG,1
Blekinge län,Karlskrona,21 - Nättraby S,OGEJ,0
Blekinge län,Karlskrona,22 - Nättraby V,S,337
Blekinge län,Karlskrona,22 - Nättraby V,SD,206
Blekinge län,Karlskrona,22 - Nättraby V,M,172
Blekinge län,Karlskrona,22 - Nättraby V,KD,54
Blekinge län,Karlskrona,22 - Nättraby V,C,53
Blekinge län,Karlskrona,22 - Nättraby V,V,50
Blekinge län,Karlskrona,22 - Nättraby V,MP,46
Blekinge län,Karlskrona,22 - Nättraby V,L,33
Blekinge län,Karlskrona,22 - Nättraby V,BLANK,18
Blekinge län,Karlskrona,22 - Nättraby V,ÖVR,5
Blekinge län,Karlskrona,22 - Nättraby V,FI,3
Blekinge län,Karlskrona,22 - Nättraby V,OG,1
Blekinge län,Karlskrona,22 - Nättraby V,OGEJ,0
Blekinge län,Karlskrona,23 - Nättraby Ö,S,311
Blekinge län,Karlskrona,23 - Nättraby Ö,M,291
Blekinge län,Karlskrona,23 - Nättraby Ö,SD,162
Blekinge län,Karlskrona,23 - Nättraby Ö,C,98
Blekinge län,Karlskrona,23 - Nättraby Ö,KD,76
Blekinge län,Karlskrona,23 - Nättraby Ö,L,64
Blekinge län,Karlskrona,23 - Nättraby Ö,MP,50
Blekinge län,Karlskrona,23 - Nättraby Ö,V,42
Blekinge län,Karlskrona,23 - Nättraby Ö,BLANK,10
Blekinge län,Karlskrona,23 - Nättraby Ö,ÖVR,9
Blekinge län,Karlskrona,23 - Nättraby Ö,FI,3
Blekinge län,Karlskrona,23 - Nättraby Ö,OGEJ,2
Blekinge län,Karlskrona,23 - Nättraby Ö,OG,1
Blekinge län,Karlskrona,24 - Rödeby N,S,507
Blekinge län,Karlskrona,24 - Rödeby N,SD,346
Blekinge län,Karlskrona,24 - Rödeby N,M,251
Blekinge län,Karlskrona,24 - Rödeby N,C,91
Blekinge län,Karlskrona,24 - Rödeby N,L,73
Blekinge län,Karlskrona,24 - Rödeby N,KD,65
Blekinge län,Karlskrona,24 - Rödeby N,V,46
Blekinge län,Karlskrona,24 - Rödeby N,MP,22
Blekinge län,Karlskrona,24 - Rödeby N,ÖVR,15
Blekinge län,Karlskrona,24 - Rödeby N,BLANK,14
Blekinge län,Karlskrona,24 - Rödeby N,FI,2
Blekinge län,Karlskrona,24 - Rödeby N,OGEJ,0
Blekinge län,Karlskrona,24 - Rödeby N,OG,0
Blekinge län,Karlskrona,25 - Rödeby S,S,432
Blekinge län,Karlskrona,25 - Rödeby S,SD,287
Blekinge län,Karlskrona,25 - Rödeby S,M,200
Blekinge län,Karlskrona,25 - Rödeby S,KD,68
Blekinge län,Karlskrona,25 - Rödeby S,C,66
Blekinge län,Karlskrona,25 - Rödeby S,L,65
Blekinge län,Karlskrona,25 - Rödeby S,V,36
Blekinge län,Karlskrona,25 - Rödeby S,MP,26
Blekinge län,Karlskrona,25 - Rödeby S,BLANK,13
Blekinge län,Karlskrona,25 - Rödeby S,ÖVR,7
Blekinge län,Karlskrona,25 - Rödeby S,FI,4
Blekinge län,Karlskrona,25 - Rödeby S,OGEJ,0
Blekinge län,Karlskrona,25 - Rödeby S,OG,0
Blekinge län,Karlskrona,26 - Sillhövda,SD,228
Blekinge län,Karlskrona,26 - Sillhövda,S,176
Blekinge län,Karlskrona,26 - Sillhövda,C,87
Blekinge län,Karlskrona,26 - Sillhövda,M,84
